,index,Address
224,Globe Life,"3700 SOUTH STONEBRIDGE DRIVE MCKINNEY, TEXAS 75070"
225,Global Payments,"3550 LENOX ROAD ATLANTA, GEORGIA 30326"
226,Goldman Sachs,"200 WEST STREET NEW YORK, NEW YORK 10282"
227,Halliburton,"3000 NORTH SAM HOUSTON PARKWAY EAST 3000 NORTH SAM HOUSTON PARKWAY EAST HOUSTON, TEXAS 77032"
228,Hartford (The),"ONE HARTFORD PLAZA HARTFORD, CONNECTICUT 06155"
229,Hasbro,"1027 NEWPORT AVE P O BOX 1059 PAWTUCKET, RHODE ISLAND 02861"
230,HCA Healthcare,"ONE PARK PLZ NASHVILLE, TENNESSEE 37203"
231,Healthpeak,"5050 SOUTH SYRACUSE STREET SUITE 800 DENVER, COLORADO 80237"
232,Henry Schein,"135 DURYEA RD MELVILLE, NEW YORK 11747"
233,Hershey's,"19 EAST CHOCOLATE AVENUE EXTERNAL RPTG & COMPLIANCE HERSHEY, PENNSYLVANIA 17033"
234,Hess Corporation,"1185 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036"
235,Hewlett Packard Enterprise,"1701 E MOSSY OAKS ROAD SPRING, TEXAS 77389"
236,Hilton Worldwide,"7930 JONES BRANCH DRIVE, SUITE 1100 MCLEAN, VIRGINIA 22102"
237,Hologic,"250 CAMPUS DRIVE MARLBOROUGH, MASSACHUSETTS 01752"
238,Home Depot (The),"2455 PACES FERRY ROAD ATLANTA, GEORGIA 30339-4024"
239,Honeywell,"855 S. MINT STREET CHARLOTTE, NORTH CAROLINA 28202"
240,Hormel Foods,"1 HORMEL PL AUSTIN, MINNESOTA 55912-3680"
241,Host Hotels & Resorts,"4747 BETHESDA AVENUE SUITE 1300 BETHESDA, MARYLAND 20814"
242,Howmet Aerospace,"201 ISABELLA STREET SUITE 200 PITTSBURGH, PENNSYLVANIA 15212-5872"
243,HP Inc.,"1501 PAGE MILL ROAD PALO ALTO, CALIFORNIA 94304"
244,Humana,"500 W MAIN ST LOUISVILLE, KENTUCKY 40202"
245,Huntington Bancshares,"HUNTINGTON CTR 41 S HIGH ST HC0917 COLUMBUS, OHIO 43287"
246,Huntington Ingalls Industries,"4101 WASHINGTON AVENUE 909-7, 7J2 NEWPORT NEWS, VIRGINIA 23607"
247,IBM,"1 NEW ORCHARD ROAD ARMONK, NEW YORK 10504"
248,IDEX Corporation,"3100 SANDERS ROAD SUITE 301 NORTHBROOK, ILLINOIS 60062"
249,Idexx Laboratories,"ONE IDEXX DRIVE WESTBROOK, MAINE 04092-2041"
250,Illinois Tool Works,"155 HARLEM AVENUE GLENVIEW, ILLINOIS 60025"
251,Illumina,"5200 ILLUMINA WAY SAN DIEGO, CALIFORNIA 92122"
252,Incyte,"1801 AUGUSTINE CUT-OFF WILMINGTON, DELAWARE 19803"
253,Ingersoll Rand,"525 HARBOUR PLACE DRIVE, SUITE 600 DAVIDSON, NORTH CAROLINA 28036"
254,Insulet,"100 NAGOG PARK ACTON, MASSACHUSETTS 01720"
255,Intel,"2200 MISSION COLLEGE BLVD RNB-4-151 SANTA CLARA, CALIFORNIA 95054"
256,Intercontinental Exchange,"5660 NEW NORTHSIDE DRIVE, THIRD FLOOR ATLANTA, GEORGIA 30328"
257,International Flavors & Fragrances,"521 W 57TH ST NEW YORK, NEW YORK 10019"
258,International Paper,"6400 POPLAR AVENUE MEMPHIS, TENNESSEE 38197"
259,Interpublic Group of Companies (The),"909 THIRD AVENUE NEW YORK, NEW YORK 10022"
260,Intuit,"2700 COAST AVENUE MOUNTAIN VIEW, CALIFORNIA 94043"
261,Intuitive Surgical,"1020 KIFER ROAD SUNNYVALE, CALIFORNIA 94086"
262,Invesco,"1555 PEACHTREE STREET NE SUITE 1800 ATLANTA, GEORGIA 30309"
263,Invitation Homes,"1717 MAIN STREET, SUITE 2000 DALLAS, TEXAS 75201"
264,IQVIA,"2400 ELLIS ROAD DURHAM, NORTH CAROLINA 27703"
265,Iron Mountain,"85 NEW HAMPSHIRE AVENUE, SUITE 150 PEASE INTERNATIONAL TRADEPORT PORTSMOUTH, NEW HAMPSHIRE 03801"
266,J.B. Hunt,"615 JB HUNT CORPORATE DR PO BOX 130 LOWELL, ARKANSAS 72745"
267,Jack Henry & Associates,"PO BOX 807 663 HWY 60 MONETT, MISSOURI 65708-0807"
268,Jacobs Solutions,"1999 BRYAN STREET, SUITE 1200 DALLAS, TEXAS 75201"
269,Johnson & Johnson,"ONE JOHNSON & JOHNSON PLZ NEW BRUNSWICK, NEW JERSEY 08933"
270,Johnson Controls,"ONE ALBERT QUAY ALBERT QUAY CORK, IRELAND 00000"
271,JPMorgan Chase,"383 MADISON AVENUE NEW YORK, NEW YORK 10017"
272,Juniper Networks,"1133 INNOVATION WAY SUNNYVALE, CALIFORNIA 94089"
273,Kellogg's,"ONE KELLOGG SQ P O BOX 3599 BATTLE CREEK, MICHIGAN 49016-3599"
274,Keurig Dr Pepper,"53 SOUTH AVENUE BURLINGTON, MASSACHUSETTS 01803"
275,KeyCorp,"127 PUBLIC SQ CLEVELAND, OHIO 44114-1306"
276,Keysight,"1400 FOUNTAINGROVE PARKWAY SANTA ROSA, CALIFORNIA 95403"
277,Kimberly-Clark,"351 PHELPS DRIVE IRVING, TEXAS 75038"
